test_id,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance
0,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
1,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
2,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
3,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
4,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
5,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
6,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
7,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
8,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
9,-800.0,4000.0,1000.0,4000.0,6000.0,1000.0,60.0,-60.0,0.0,0.0,-85.0,0.0,51900.0,-50000.0,10000.0,900.0,-1001300.0,1000.0,57998.26953125,-56260.89453125,11147.328125,3731.4375,-79074.734375,1000.0,57882.13671875,-56182.95703125,11452.3095703125,3845.26416015625,-77292.046875,5460.0009765625,58.717559814453125,-60.24838638305664,11.068412780761719,-0.2615674138069153,-84.99952697753906,0.0,58.15292739868164,-60.14119338989258,14.189285278320312,-0.27026790380477905,-84.99922180175781,-0.4087930917739868,False,False,782.4987182617188,3244.0869140625
