test_id,aircraft_angle,aircraft_1_init_pos_x,aircraft_1_init_pos_y,aircraft_1_init_pos_z,aircraft_2_init_pos_x,aircraft_2_init_pos_y,aircraft_2_init_pos_z,aircraft_1_init_speed_x,aircraft_1_init_speed_y,aircraft_1_init_speed_z,aircraft_2_init_speed_x,aircraft_2_init_speed_y,aircraft_2_init_speed_z,aircraft_1_init_target_x,aircraft_1_init_target_y,aircraft_1_init_target_z,aircraft_2_init_target_x,aircraft_2_init_target_y,aircraft_2_init_target_z,aircraft_1_final_pos_x_if_no_avoidance,aircraft_1_final_pos_y_if_no_avoidance,aircraft_1_final_pos_z_if_no_avoidance,aircraft_2_final_pos_x_if_no_avoidance,aircraft_2_final_pos_y_if_no_avoidance,aircraft_2_final_pos_z_if_no_avoidance,aircraft_1_final_pos_x_if_avoidance,aircraft_1_final_pos_y_if_avoidance,aircraft_1_final_pos_z_if_avoidance,aircraft_2_final_pos_x_if_avoidance,aircraft_2_final_pos_y_if_avoidance,aircraft_2_final_pos_z_if_avoidance,aircraft_1_final_speed_x_if_no_avoidance,aircraft_1_final_speed_y_if_no_avoidance,aircraft_1_final_speed_z_if_no_avoidance,aircraft_2_final_speed_x_if_no_avoidance,aircraft_2_final_speed_y_if_no_avoidance,aircraft_2_final_speed_z_if_no_avoidance,aircraft_1_final_speed_x_if_avoidance,aircraft_1_final_speed_y_if_avoidance,aircraft_1_final_speed_z_if_avoidance,aircraft_2_final_speed_x_if_avoidance,aircraft_2_final_speed_y_if_avoidance,aircraft_2_final_speed_z_if_avoidance,collision_if_no_avoidance,collision_if_avoidance,minimal_relative_distance_if_no_avoidance,minimal_relative_distance_if_avoidance,miss_distance_at_closest_approach_if_no_avoidance,miss_distance_at_closest_approach_if_avoidance
0,0.0,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,2000000.0,1000.0,0.0,2000000.0,1000.0,0.0,-41.0,1000.0,0.0,-21.0,1000.0,-2138.708984375,52805.375,1000.0,4335.37353515625,25790.234375,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,0.10907424986362457,99.99918365478516,0.0,-0.10972551256418228,49.999000549316406,0.0,True,False,0,4473.0966796875,nan,0.0
1,180.0,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-10.0,1000.0,0.0,10.0,1000.0,-3206.670166015625,13515.0634765625,1000.0,3206.670166015625,-13515.0634765625,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,0.3293125629425049,49.998291015625,0.0,-0.3293125629425049,-49.998291015625,0.0,True,False,0,6584.8701171875,nan,0.0
2,180.0,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.0,500000.0,1000.0,0.0,-500000.0,1000.0,0.0,-6.5,1000.0,0.0,13.0,1000.0,-4324.25927734375,5202.642578125,1000.0,2159.2080078125,-21811.078125,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.4368170201778412,49.99776840209961,0.0,-0.45215001702308655,-99.99830627441406,0.0,True,False,0,6646.17431640625,nan,0.0
3,0.001,0.0,-20000.0,1000.0,0.0,-10000.0,1000.0,0.0,100.0,0.0,0.0,50.0,0.0,60.0,2000060.0,1000.0,-60.0,1999940.0,1000.0,0.2982237935066223,-40.0,1000.0,-0.2982088625431061,-20.5,1000.0,-3021.844482421875,48942.37109375,1000.0,6130.7705078125,22712.93359375,1000.0,0.0014941488625481725,100.0,0.0,-0.0014941488625481725,50.0,0.0,0.15959827601909637,99.99889373779297,0.0,-0.15691834688186646,49.99903869628906,0.0,True,False,0,5645.71826171875,nan,0.5976598858833313
4,180.001,0.0,-5000.0,1000.0,0.0,5000.0,1000.0,0.0,50.0,0.0,0.0,-50.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.6424382328987122,-9.5,1000.0,-0.6423738598823547,10.0,1000.0,-4534.66650390625,13129.130859375,1000.0,4534.66650390625,-13129.130859375,1000.0,0.006438851822167635,50.0,0.0,-0.006438851822167635,-50.0,0.0,0.4719846248626709,49.99683380126953,0.0,-0.4719846248626709,-49.99683380126953,0.0,True,False,0,6483.412109375,nan,1.28728449344635
5,180.001,0.0,-5000.0,1000.0,0.0,10000.0,1000.0,0.0,50.0,0.0,0.0,-100.0,0.0,60.0,500060.0,1000.0,-60.0,-500060.0,1000.0,0.6428244709968567,-6.5,1000.0,-1.3364309072494507,13.0,1000.0,-6119.001953125,6415.55908203125,1000.0,3035.019775390625,-19813.125,1000.0,0.006438851822167635,50.0,0.0,-0.01337987370789051,-100.0,0.0,0.6264926791191101,49.99554443359375,0.0,-0.6429686546325684,-99.99725341796875,0.0,True,False,0,5693.6787109375,nan,1.981877326965332
6,0.9372140781948826,0.0,-611348.25,3010.4423828125,9999.666015625,-611266.4375,3010.4423828125,0.0,61.66690444946289,0.0,-1.0086696147918701,61.658653259277344,0.0,0.0,61134824.0,4485.0390625,-999966.5625,61126644.0,4485.0390625,0.0,1756250.375,3010.4423828125,-27779.890625,1756331.5,3010.4423828125,-18.326074600219727,1753702.875,3014.09765625,-27798.21484375,1753783.875,3014.104736328125,0.0,61.66690444946289,0.0004579857923090458,-1.0086696147918701,61.658653259277344,0.00045798529754392803,4.861260094912723e-05,61.66637420654297,0.002559768734499812,-1.0089359283447266,61.658016204833984,0.002554634353145957,False,False,79.97560119628906,79.91826629638672,nan,6.0677266120910645
7,48.64086851853358,0.0,-12140.6552734375,4124.5625,9112.564453125,-8022.26171875,4124.5625,0.0,112.17326354980469,0.0,-84.19529724121094,74.12146759033203,0.0,0.0,1214065.5,1928.9755859375,-911256.4375,802226.1875,1928.9755859375,0.0,-23.415237426757812,14995.669921875,17.798866271972656,-14.558075904846191,14995.6708984375,1870.5408935546875,30800.203125,41264.03125,-24068.751953125,23680.287109375,34321.60546875,0.0,79.50774383544922,79.12874603271484,-59.676849365234375,52.53664779663086,79.12910461425781,-0.12547071278095245,79.50874328613281,79.12679290771484,-59.8270149230957,52.50150680541992,79.03895568847656,True,False,0,3319.41259765625,nan,0.13973982632160187
8,53.034273372992104,0.0,-11199.07421875,4567.47900390625,8948.0087890625,-6734.419921875,4567.47900390625,0.0,66.80127716064453,0.0,-53.3739128112793,40.17009353637695,0.0,0.0,1119907.5,3241.85302734375,-894800.875,673442.0,3241.85302734375,0.0,-23.60531997680664,14930.828125,18.33956527709961,-16.052629470825195,14930.828125,-2001.6805419921875,4025.184814453125,6011566.5,2018.0506591796875,-4012.670166015625,6016302.0,0.0,47.34790802001953,47.12310028076172,-37.83064270019531,28.47197914123535,47.123260498046875,-46.60017776489258,-8.725105285644531,47.060203552246094,-19.530786514282227,-43.368629455566406,46.90458679199219,True,False,0,3884.553955078125,nan,0.1283562332391739
9,60.27023036111725,0.0,-9959.3486328125,1087.61279296875,8648.4384765625,-4938.93994140625,1087.61279296875,0.0,127.63326263427734,0.0,-110.83340454101562,63.29460144042969,0.0,0.0,995934.875,2579.39599609375,-864843.875,493893.96875,2579.39599609375,0.0,-19.03778076171875,1101.552490234375,17.508277893066406,-10.040534973144531,1101.5506591796875,2345.5908203125,27340.890625,1148.451171875,-22883.951171875,15710.638671875,1136.26416015625,0.0,127.63326263427734,0.18716612458229065,-110.83340454101562,63.29460144042969,0.18716640770435333,-0.31036338210105896,127.63190460205078,0.1907789260149002,-110.98383331298828,63.0299186706543,0.188009113073349,True,False,0,2303.05615234375,nan,0.06787109375
